unspsc,root_domain,page_url,product_title,brand,eco_friendly,merged_description,product_identifier,intended_industries,applicability,ethical_and_sustainability_practices,materials,ingredients,manufacturing_countries,manufacturing_type,customization,packaging_type,form,quality_standards_and_certifications,miscellaneous_features,production_capacity,price,size,color,purity,energy_efficiency,pressure_rating,power_rating
Fastening supplies|Straps,basspaper.ca,https://shop.basspaper.ca/Product?CategoryId=639,#64 Elastic Bands 5LB,,,"The #64 Elastic Bands 5LB is a versatile and essential product designed for various applications requiring elastic bands. This product is categorized under office supplies and is identified by the model number 819-0685N. The bands are packaged in a 5-pound package, making them suitable for both individual and bulk use. The #64 specification indicates that these bands are made from high-quality elastic material, ensuring durability and reliability. The product is available for purchase with better pricing options for larger quantities, catering to both small and large-scale needs. The bands are designed to meet various elastic band requirements, providing a reliable solution for securing documents, bundling items, and more. The product is available for purchase through the Bass Paper website, where customers can request additional product information and place orders. The #64 Elastic Bands 5LB is an indispensable item for anyone in need of dependable elastic bands for their office or personal use.","['Product_Code: 819-0685N', 'Part_Number: 819-0685N']","['Packaging', 'Office Supplies']","['Bundling Items', 'Securing Documents', 'Heavy-Duty Packaging']",[],[],[],[],[],[],[],[],[],[],[],[],"[{'dimension': 'Weight', 'qualitative': False, 'type': 'exact', 'unit': 'lbs', 'value': '5'}, {'dimension': 'Weight', 'qualitative': False, 'type': 'exact', 'unit': 'lbs', 'value': '64'}]",[],[],[],[],[]
Picture framing,alphaposterr.com,https://alphaposterr.com/products/wooden-frame-1?pr_prod_strat=e5_desc&pr_rec_id=0047826a2&pr_rec_pid=8855665836352&pr_ref_pid=8855665115456&pr_seq=uniform&variant=47204583244096,(Wooden Frame) With Joe Rogan G's Emergency Meeting,Alpha Poster,,"The (Wooden Frame) With Joe Rogan G's Emergency Meeting is a premium wall art product offered by Alpha Poster. This product is priced at $69.99 USD, down from its original price of $129.99 USD, reflecting a 47% discount. The frame is designed to hold a print of Joe Rogan's ""G's Emergency Meeting,"" which is a one-of-one original work of art. The frame is crafted from high-quality materials, including real wood, and is available in various frame colors such as black, dark wood, wood, and white. The frame is non-reflective, ensuring a clear and detailed display of the print. It is printed on 210gsm matte paper, which is known for its durability and ultra-detailed print quality. The product is shipped from the USA and comes with secure packaging to ensure safe delivery. The frame is part of Alpha Poster's extensive collection of high-quality wall art, which is known for its large size and affordability. The product is available in multiple sizes, including A2, A1, and A0, catering to different display preferences. The frame is designed to be both functional and aesthetically pleasing, making it a perfect addition to any room. The product is also eligible for fast free shipping and same-day fulfillment, with express shipping options available. The company offers 24/7 customer support, ensuring that customers can easily resolve any issues or make changes to their orders. Overall, the (Wooden Frame) With Joe Rogan G's Emergency Meeting is a high-quality, durable, and unique wall art piece that combines the elegance of real wood with the precision of high-quality printing.",[],"['Retail', 'Home Decor']",['Wall Decoration'],[],['Wood'],[],[],[],['Available in four different wood types'],['Secure packaging'],[],[],"['Printed on 210gsm matte paper', 'ultra-detailed, non-reflective prints', 'Non-reflective', '210gsm matte paper', 'Express shipping options available']",[],"[{'amount': 65.94999694824219, 'currency': 'EUR', 'type': 'min'}, {'amount': 121.94999694824219, 'currency': 'EUR', 'type': 'max'}, {'amount': 69.98999786376953, 'currency': 'USD', 'type': 'min'}, {'amount': 129.99000549316406, 'currency': 'USD', 'type': 'max'}]",[],"[{'original': 'Black', 'simple': 'Black'}, {'original': 'Dark Wood', 'simple': 'Brown'}, {'original': 'Wood', 'simple': 'Brown'}, {'original': 'White', 'simple': 'White'}]",[],[],[],[]
Valves,cdivalve.com,https://www.cdivalve.com/products/pneumatic-valves/any/any/any/1%20--188---or---188---or-5%20X%206,"1 ¼"" Valves",,,"1 ¼"" Valves are available in various sizes and materials, including 1"", 1 X 1 ½"", 1 ½"", 1 ½ X 2"", 2"", 2 X 2 ½"", 2 X 3"", 2 X 4"", 2 ½"", 2 ½ X 3"", 2 ½ X 4"", 3"", 3 X 4"", 3 X 5"", 3 X 6"", 4"", 5"", 6"", 8"", 10"", 12"", 4 X 6"", 5 X 6"", and 6 X 8"". These valves are suitable for use in pressure washers, air compressors, fire suppression systems, vehicle systems, specialty gas applications, and the agricultural and food & beverage industries.",[],"['Food & Beverage', 'Agriculture', 'Pressure Washers', 'Manufacturing', 'Vehicle Systems', 'Fire Suppression Systems', 'Air Compressors', 'Specialty Gas Applications', 'Industrial']",['control of fluid flow'],[],[],[],[],[],[],[],[],[],[],[],[],"[{'dimension': 'Diameter', 'qualitative': False, 'type': 'min', 'unit': 'in', 'value': '1'}, {'dimension': 'Diameter', 'qualitative': False, 'type': 'max', 'unit': 'in', 'value': '12'}, {'dimension': 'Diameter', 'qualitative': False, 'type': 'exact', 'unit': 'in', 'value': '1.25'}]",[],[],[],[],[]
Valves,advancedpressuresystems.ca,https://advancedpressuresystems.ca/collections/control-guns/lever,"1"" Air Diverter Valve",,,"The 1"" Air Diverter Valve is a component of the Zero Thrust Style Control Gun. It is designed to divert air flow in water blasting operations, allowing for precise control of the air supply. This valve is essential for maintaining the efficiency and safety of the control gun system.",[],"['Manufacturing', 'Water Blasting']","['Air Diversion', 'water blasting operations']",[],[],[],[],[],"['Available in various models including 1 air diverter valve, 1 MP, and 1 NPT']",[],[],[],"['Designed for water blasting operations', 'Precise air flow control', 'Zero Thrust Style Control Gun compatibility', 'Available in 1 MP and 1 NPT models', 'suitable for various water blasting applications']",[],[],"[{'dimension': 'Length', 'qualitative': False, 'type': 'exact', 'unit': 'in', 'value': '1'}, {'dimension': 'Diameter', 'qualitative': False, 'type': 'exact', 'unit': 'in', 'value': '1'}]",[],[],[],[],[]
Pipe connectors,plumbmaster.com,https://www.plumbmaster.com/search?q=wolverine+brass%3Arelevance%3AmanufacturerName%3AWolverine+Brass%3AType%3AGeneric,1-Piece,,,A 1-piece fitting is a plumbing component used to connect pipes of different diameters. It is available in various sizes and materials to suit different plumbing applications.,[],"['Construction', 'Plumbing']","['Pipe Connection', 'Connecting Plumbing Fittings', 'Connecting Pipes']",[],[],[],[],[],[],[],[],[],['single-piece installations'],[],[],"[{'dimension': None, 'qualitative': True, 'type': 'exact', 'unit': None, 'value': 'Various'}]",[],[],[],[],[]
Valves,advancedpressuresystems.ca,https://advancedpressuresystems.ca/collections/control-guns/zero-thrust-style-control-gun+dry-shut-off-control-gun-handle+20k-air-operated,"1/2"" NPT Air Diverter Valve",,,"The ""1/2\"" NPT Air Diverter Valve"" is designed for versatile air flow control, suitable for various applications where precise air management is required.",[],['Manufacturing'],"['air flow control in water blasting', 'air flow control']",[],[],[],[],[],[],[],[],[],[],[],[],"[{'dimension': 'Diameter', 'qualitative': False, 'type': 'exact', 'unit': 'in', 'value': '0.5'}]",[],[],[],[],[]
Valves,advancedpressuresystems.ca,https://advancedpressuresystems.ca/collections/control-guns/high-flow-air-diverter-valve+gun-handle,"1/2"" NPT Barrel Air Diverter Valve",,,"The 1/2"" NPT Barrel Air Diverter Valve is a high-flow air diverter valve designed for water blasting operations. It features a 1/2-inch NPT barrel size and is suitable for various industrial applications requiring high flow rates. This valve is designed to provide reliable performance in demanding environments.",[],"['Manufacturing', 'Industrial']","['Water Blasting Operations', 'High Flow Applications', 'water blasting operations']",[],[],[],[],[],"['Available in various models including 1"", 1.5K, 10K, 15K, 20K, and 3/8"" NPT']",[],[],[],"['suitable for water blasting operations', 'High flow applications', 'Suitable for foot-operated, hand-held, and gun handle configurations', 'high-flow air diverter valve']",[],[],"[{'dimension': 'Diameter', 'qualitative': False, 'type': 'exact', 'unit': 'in', 'value': '0.5'}]",[],[],[],[],[]
Pipe connectors|Pipe threaded flanges,plumbmaster.com,https://www.plumbmaster.com/search?q=wolverine+brass%3Arelevance%3AmanufacturerName%3AWolverine+Brass%3AType%3ATest+Plug%3AType%3ABolt,1/4 Turn,,,"The ""1/4 Turn"" is a plumbing component designed for installations requiring a 1/4 turn, available in various types including 1/4 turn, 1/4-Turn heavy-duty, 1/4-Turn Encore multi-turn, 1/4-Turn full turn, 1/4-Turn self-tapping, and commercial.",[],['Plumbing'],"['1/4 turn installations', '1/4 turn applications', '1/4 turn connections']",[],[],[],[],[],"['Available in various types including 1/4 turn, 1/4-Turn, 1/4-Turn heavy-duty, 1/4-Turn Encore multi-turn, 1/4-Turn full turn, 1/4-Turn self-tapping, and commercial']",[],[],[],"['1/4 turn installations', '1/4-Turn heavy-duty', '1/4-Turn full turn', '1/4-Turn Encore multi-turn', '1/4-Turn self-tapping']",[],[],[],[],[],[],[],[]
Pneumatic tools,advancedpressuresystems.ca,https://advancedpressuresystems.ca/collections/control-guns/zero-thrust-style-control-gun+handle+15k-zero-thrust,"1/4"" NPT Dump Gun","Advanced Pressuresystems, Inc.",,"The 1/4"" NPT Dump Gun is a specialized control gun designed for water blasting operations. It is part of a range of control guns offered by Advanced Pressuresystems, Inc. These guns are used to control the flow and pressure of water in various applications. The 1/4"" NPT Dump Gun is suitable for use in industries such as construction, landscaping, and industrial maintenance. It is designed to provide precise control over the water flow, making it ideal for creating clean and controlled surfaces. The diverter is available in various models, including 1"" air diverter valves, foot-operated control guns, and hand-held control guns. The 1/4"" NPT Dump Gun is manufactured to high standards, ensuring durability and reliability in demanding environments.",[],"['Industrial Maintenance', 'Construction', 'Diving', 'Manufacturing', 'Landscaping']","['Water Blasting Operations', 'High Flow Applications In Water Blasting', 'High Volume Air Blasting Operations', 'discharging air from diverter valve']",[],[],[],[],[],"['Available in various models to suit different operational needs', 'Available in various models including 1"" air diverter valves, foot-operated control guns, and hand-held control guns']",[],[],[],"['Foot-operated control guns', 'Zero Thrust Style Control Gun', 'Discharges air from diverter valve', 'High flow applications', 'Hand-held control guns']",[],[],[],[],[],[],"[{'qualitative': True, 'type': 'exact', 'unit': None, 'value': 'high'}]",[]
Faucets or taps,plumbmaster.com,https://www.plumbmaster.com/search?q=wolverine+brass%3Arelevance%3AmanufacturerName%3AWolverine+Brass%3AType%3AFrost+Proof%3AType%3ACold,1/4-Turn Faucets,PlumbMaster,,"""1/4-Turn Faucets"" are designed for frost-proof and cold applications, featuring a 1/4 turn operation. These faucets are available in various sizes and materials, catering to diverse installation needs.",[],"['Residential', 'Plumbing', 'Commercial']","['Cold Applications', 'Frost-Proof Applications', 'easy operation', 'reliable performance']",[],[],[],[],[],['Variety of 1/4-turn faucets'],[],[],[],"['frost-proof', 'suitable for cold applications']",[],[],"[{'dimension': None, 'qualitative': True, 'type': 'exact', 'unit': None, 'value': 'Various'}]",[],[],[],[],[]
